Time: 2/16/2024, 9:40:03 PM, maker Vol: 74382 , maker rebates:5.95056 | taker Vol: 379.16 | net profit: 5.66619
Time: 2/16/2024, 9:42:03 PM, maker Vol: 75412 , maker rebates:6.03296 | taker Vol: 379.16 | net profit: 5.74859
Time: 2/16/2024, 9:44:03 PM, maker Vol: 77056 , maker rebates:6.16448 | taker Vol: 379.16 | net profit: 5.88011
Time: 2/16/2024, 9:46:03 PM, maker Vol: 77356 , maker rebates:6.18848 | taker Vol: 379.16 | net profit: 5.90411
Time: 2/16/2024, 9:48:03 PM, maker Vol: 77810 , maker rebates:6.2248 | taker Vol: 379.16 | net profit: 5.94043
Time: 2/16/2024, 9:50:03 PM, maker Vol: 79154 , maker rebates:6.33232 | taker Vol: 379.16 | net profit: 6.04795
Time: 2/16/2024, 9:52:03 PM, maker Vol: 79154 , maker rebates:6.33232 | taker Vol: 379.16 | net profit: 6.04795
Time: 2/16/2024, 9:54:03 PM, maker Vol: 79608 , maker rebates:6.36864 | taker Vol: 379.16 | net profit: 6.08427
Time: 2/16/2024, 9:56:03 PM, maker Vol: 79608 , maker rebates:6.36864 | taker Vol: 379.16 | net profit: 6.08427
Time: 2/16/2024, 9:58:03 PM, maker Vol: 80798 , maker rebates:6.46384 | taker Vol: 379.16 | net profit: 6.17947
Time: 2/16/2024, 10:00:03 PM, maker Vol: 80798 , maker rebates:6.46384 | taker Vol: 379.16 | net profit: 6.17947
Time: 2/16/2024, 10:02:03 PM, maker Vol: 81984 , maker rebates:6.55872 | taker Vol: 379.16 | net profit: 6.27435
Time: 2/16/2024, 10:04:03 PM, maker Vol: 83623 , maker rebates:6.68984 | taker Vol: 379.16 | net profit: 6.40547
Time: 2/16/2024, 10:06:03 PM, maker Vol: 83623 , maker rebates:6.68984 | taker Vol: 379.16 | net profit: 6.40547
Time: 2/16/2024, 10:08:03 PM, maker Vol: 83623 , maker rebates:6.68984 | taker Vol: 379.16 | net profit: 6.40547
Time: 2/16/2024, 10:10:03 PM, maker Vol: 83623 , maker rebates:6.68984 | taker Vol: 379.16 | net profit: 6.40547
Time: 2/16/2024, 10:12:03 PM, maker Vol: 83623 , maker rebates:6.68984 | taker Vol: 379.16 | net profit: 6.40547
Time: 2/16/2024, 10:14:03 PM, maker Vol: 84274 , maker rebates:6.74192 | taker Vol: 379.16 | net profit: 6.45755
Time: 2/16/2024, 10:16:03 PM, maker Vol: 85074 , maker rebates:6.80592 | taker Vol: 379.16 | net profit: 6.52155
Time: 2/16/2024, 10:18:03 PM, maker Vol: 85874 , maker rebates:6.86992 | taker Vol: 379.16 | net profit: 6.58555
Time: 2/16/2024, 10:20:03 PM, maker Vol: 85874 , maker rebates:6.86992 | taker Vol: 379.16 | net profit: 6.58555
Time: 2/16/2024, 10:22:03 PM, maker Vol: 87514 , maker rebates:7.00112 | taker Vol: 379.16 | net profit: 6.71675
Time: 2/16/2024, 10:24:03 PM, maker Vol: 87514 , maker rebates:7.00112 | taker Vol: 379.16 | net profit: 6.71675
Time: 2/16/2024, 10:26:03 PM, maker Vol: 87514 , maker rebates:7.00112 | taker Vol: 379.16 | net profit: 6.71675
Time: 2/16/2024, 10:28:03 PM, maker Vol: 87514 , maker rebates:7.00112 | taker Vol: 379.16 | net profit: 6.71675
Time: 2/16/2024, 10:30:03 PM, maker Vol: 87514 , maker rebates:7.00112 | taker Vol: 379.16 | net profit: 6.71675
Time: 2/16/2024, 10:32:03 PM, maker Vol: 90753 , maker rebates:7.26024 | taker Vol: 379.16 | net profit: 6.97587
Time: 2/16/2024, 10:34:03 PM, maker Vol: 92429 , maker rebates:7.39432 | taker Vol: 379.16 | net profit: 7.10995
Time: 2/16/2024, 10:36:03 PM, maker Vol: 92429 , maker rebates:7.39432 | taker Vol: 379.16 | net profit: 7.10995
Time: 2/16/2024, 10:38:03 PM, maker Vol: 92429 , maker rebates:7.39432 | taker Vol: 379.16 | net profit: 7.10995
Time: 2/16/2024, 10:40:03 PM, maker Vol: 94067 , maker rebates:7.52536 | taker Vol: 379.16 | net profit: 7.24099
Time: 2/16/2024, 10:42:03 PM, maker Vol: 94367 , maker rebates:7.54936 | taker Vol: 379.16 | net profit: 7.26499
Time: 2/16/2024, 10:44:03 PM, maker Vol: 96284 , maker rebates:7.70272 | taker Vol: 379.16 | net profit: 7.41835
Time: 2/16/2024, 10:46:03 PM, maker Vol: 97340 , maker rebates:7.7872 | taker Vol: 379.16 | net profit: 7.50283
Time: 2/16/2024, 10:48:03 PM, maker Vol: 97920 , maker rebates:7.8336 | taker Vol: 379.16 | net profit: 7.54923
